font,bgco,textco,imagesize,fontsize,accent
Poppins-Medium,F3F3EB,818174,(1400, 900),48,#FF6F61
Poppins-Medium,F5EFE9,5E523E,(1400, 900),48,#FF8C42
Poppins-Medium,FDF6F0,8C551E,(1400, 900),48,#FFB74D
Poppins-Medium,F6EFE5,393938,(1400, 900),48,#FF7043
Poppins-Medium,15110B,E8DFD4,(1400, 900),48,#FFAB91
Poppins-Medium,4D3329,F8EEE5,(1400, 900),48,#FF8A65
Poppins-Medium,E2D4C6,462717,(1400, 900),48,#FF7043
Poppins-Medium,ECDE61,333333,(1400, 900),48,#FFEB3B
Poppins-Medium,FFF4E8,FF7963,(1400, 900),48,#FF5722
Poppins-Medium,455959,FFFFFF,(1400, 900),48,#FFAB40
Poppins-Medium,DAF584,2E2E2E,(1400, 900),48,#CDDC39
Poppins-Medium,D0E7D2,262626,(1400, 900),48,#8BC34A
Poppins-Medium,FFFFFF,004878,(1400, 900),48,#2196F3
Poppins-Medium,CC542F,E3E3D7,(1400, 900),48,#FF7043
Poppins-Medium,FFF5E8,02184F,(1400, 900),48,#3F51B5
Poppins-Medium,C1DDE3,4F4F4F,(1400, 900),48,#00BCD4
Poppins-Medium,FFFFFF,313D5A,(1400, 900),48,#3F51B5
Poppins-Medium,2E2E2E,FBFBFB,(1400, 900),48,#FF5722
Poppins-Medium,FFFFFF,484848,(1400, 900),48,#9E9E9E
Poppins-Medium,FFB8D0,000000,(1400, 900),48,#E91E63
Poppins-Medium,FF7152,FFFFFF,(1400, 900),48,#FF5722
Poppins-Medium,FFF3E8,626160,(1400, 900),48,#FF7043
Poppins-Medium,EB6B2D,FFFFFF,(1400, 900),48,#FF5722
Poppins-Medium,FAFBF5,D62636,(1400, 900),48,#FF1744
Poppins-Medium,E1657D,FFFFFF,(1400, 900),48,#FF4081
Poppins-Medium,D5D5D5,010101,(1400, 900),48,#9E9E9E
Poppins-Medium,E8E8E8,000000,(1400, 900),48,#757575
Poppins-Medium,3254F9,FFFFFF,(1400, 900),48,#3F51B5
Poppins-Medium,F3E2D0,000000,(1400, 900),48,#795548
Poppins-Medium,ECE9F5,000000,(1400, 900),48,#673AB7
Poppins-Medium,FBDCEB,2A282A,(1400, 900),48,#E91E63
Poppins-Medium,303030,ECDECB,(1400, 900),48,#FF5722
Poppins-Medium,F5F0ED,000000,(1400, 900),48,#795548
Poppins-Medium,FAFBF5,D62636,(1400, 900),48,#FF1744
